Date,Close,High,Low,Open,Time
2014-13-30,4123.1299,4135.8398,4094.1699,4098.8101,2168410112
2014-13-31,4103.8799,4124.9199,4067.6101,4068.6299,2300570112
2014-20-03,3996.9600,4113.5498,3989.9500,4105.0601,2617029888
2014-20-04,4031.5200,4044.2000,4004.5801,4019.4399,2173360128
2014-20-05,4011.5500,4026.2800,3968.1899,4015.5000,2168359936
2014-20-06,4057.1201,4064.0601,4022.1699,4022.6599,1942700032
2014-20-07,4125.8599,4126.5098,4069.9299,4081.8201,2055849984
2014-21-10,4148.1699,4148.2998,4122.6099,4125.1201,1811970048
2014-21-11,4191.0498,4198.5098,4153.1001,4154.6602,1993949952
2014-21-12,4201.2900,4212.6099,4190.3901,4196.8501,2035890048
2014-21-13,4240.6699,4240.6699,4170.4702,4171.5801,2249989888
2014-21-14,4244.0200,4250.9102,4225.7500,4237.0000,1881510016
2014-21-18,4272.7798,4277.3301,4243.5601,4253.7100,1886210048
2014-21-19,4237.9502,4274.2900,4232.3799,4260.7402,1956720000
2014-22-20,4267.5498,4272.3398,4226.7500,4241.4600,1992780032
2014-22-21,4263.4102,4284.8501,4261.6299,4282.1699,2138249984
2014-22-24,4292.9702,4311.1299,4272.1099,4273.3198,2161299968
2014-22-25,4287.5898,4307.5098,4275.7998,4298.4800,2137149952
2014-22-26,4292.0601,4316.8198,4278.5400,4300.4502,2108269952
2014-22-27,4318.9302,4322.4600,4284.7798,4291.4702,2049159936
2014-22-28,4308.1201,4342.5898,4275.6099,4323.5200,2617730048
2014-30-03,4277.2998,4284.1499,4239.6499,4261.4199,2077500032
2014-30-04,4351.9702,4357.2100,4327.5400,4327.8501,2477850112
2014-30-05,4357.9702,4362.5000,4344.1499,4352.7598,2215980032
2014-30-06,4352.1299,4371.7100,4341.0000,4368.8101,2136259968
2014-30-07,4336.2202,4371.3901,4319.1499,4370.9800,2175559936
2014-31-10,4334.4502,4339.9302,4307.8398,4332.6201,2111609984
2014-31-11,4307.1899,4354.4302,4295.4702,4342.9302,2477779968
2014-31-12,4323.3301,4323.3301,4270.2202,4288.6001,2131879936
2014-31-13,4260.4199,4339.8999,4242.9502,4338.2598,2383600128
2014-31-14,4245.3999,4272.3398,4241.9399,4250.4502,2196890112
2014-31-17,4279.9502,4301.2798,4273.0098,4274.2202,1810409984
2014-31-18,4333.3101,4334.6602,4284.1099,4286.2202,1962889984
2014-31-19,4307.6001,4334.2998,4283.5400,4331.4600,1992749952
2014-32-20,4319.2900,4329.6099,4287.4102,4297.9902,1847270016
2014-32-21,4276.7900,4344.3901,4268.3398,4339.8999,3245740032
2014-32-24,4226.3901,4289.4902,4190.6099,4289.4902,2434650112
2014-32-25,4234.2700,4274.3198,4203.6401,4252.6499,2270759936
2014-32-26,4173.5801,4263.0698,4173.5801,4254.9800,2455460096
2014-32-27,4151.2300,4186.1299,4131.8101,4169.3501,2270650112
2014-32-28,4155.7598,4203.4902,4144.6899,4163.1802,2029840000
2014-33-31,4198.9902,4212.9702,4180.5400,4185.6299,2090850048
2014-40-01,4268.0400,4268.2002,4218.7700,4219.8701,2153129984
2014-40-02,4276.4600,4286.0898,4258.8599,4281.6099,2187099904
2014-40-03,4237.7402,4284.6899,4216.5698,4282.1802,2067369984
2014-40-04,4127.7300,4267.0601,4118.7100,4263.9399,2621270016
2014-40-07,4079.7500,4133.6802,4052.1399,4110.9199,2554680064
2014-40-08,4112.9902,4120.2402,4066.1101,4085.1799,2198899968
2014-40-09,4183.8999,4185.1899,4121.1699,4129.6299,1957560064
2014-41-10,4054.1101,4182.6099,4042.7600,4181.2100,2421210112
2014-41-11,3999.7300,4067.2200,3991.6399,4015.0701,2264480000
2014-41-14,4022.6899,4050.7900,3986.5000,4038.0601,1890480000
2014-41-15,4034.1599,4054.8000,3946.0300,4032.6299,2413110016
2014-41-16,4086.2300,4086.2800,4038.8101,4066.8201,1863110016
2014-41-17,4095.5200,4110.4600,4064.7000,4080.3000,1954720000
2014-42-21,4121.5498,4121.5498,4081.9099,4105.3701,1544440064
2014-42-22,4161.4600,4170.7202,4131.6099,4132.0601,1875929984
2014-42-23,4126.9702,4161.4399,4125.4102,4160.8999,1794759936
2014-42-24,4148.3398,4177.1602,4107.5200,4174.6099,2130870016
